Date,mean_excess_5d,hit_rate_excess,n_picks
2021-06-15,-0.027207844683144466,0.0,2
2021-06-16,-0.016679443271265804,0.0,1
2021-06-17,0.0048322794418426684,0.25,4
2021-06-18,0.010323710530550034,0.8,5
2021-07-02,-0.0013193067924426316,0.0,1
2021-07-06,0.004664298750907125,1.0,1
2021-07-08,0.031258066126192086,1.0,1
2021-07-16,0.02720376659175372,0.5,2
2021-07-19,0.016995791556978723,0.8,5
2021-07-20,0.01870159361780732,1.0,2
2021-07-22,-0.004338507189940444,0.0,1
2021-07-23,0.010351279260317536,1.0,1
2021-07-30,-0.0038622054518098192,0.0,1
2021-08-02,-0.007256289866627519,0.0,1
2021-08-03,-0.009347975919452134,0.25,4
2021-08-04,-0.017325853059712754,0.0,3
2021-08-05,-0.017790627184866015,0.0,2
2021-08-18,-0.008785495192638418,0.3333333333333333,3
2021-08-19,0.02165578919003992,1.0,5
2021-08-20,0.026865422317073746,1.0,3
2021-08-23,-0.003458524045636846,0.0,1
2021-08-27,0.005916105669830252,1.0,1
2021-09-07,-0.0008801044241592004,0.0,1
2021-09-08,-0.01297261668344818,0.0,1
2021-09-09,-0.01276492399966217,0.0,2
2021-09-10,0.005633988685918356,0.25,4
2021-09-13,0.009927507331560633,1.0,3
2021-09-14,0.011981878641257474,0.6666666666666666,3
2021-09-15,0.013364698836695554,1.0,1
2021-09-20,0.005546451408695363,0.6,5
2021-09-21,0.029051838488464488,1.0,4
2021-09-22,0.02203165257375972,1.0,2
2021-09-28,0.024985712242006297,1.0,2
2021-09-29,0.024522195880035347,1.0,2
2021-09-30,0.005344531509421868,0.4,5
2021-10-01,0.008887322052045343,1.0,2
2021-10-04,0.017150128124884433,1.0,5
2021-10-11,-0.033930529956076705,0.0,1
2021-10-12,-0.019379648429303176,0.0,1
2021-10-13,0.012972020470255252,1.0,2
2021-10-14,0.007222675288300229,1.0,2
2021-10-21,-0.008107723729842031,0.5,2
2021-10-22,-0.0290481900938519,0.0,2
2021-10-25,-0.01376704648531396,0.0,2
2021-10-26,-0.0004009117319655475,0.5,2
2021-10-27,-0.02036411371196875,0.25,4
2021-10-28,-0.002563653872684424,0.3333333333333333,3
2021-10-29,0.006271217117261567,0.6666666666666666,3
2021-11-01,0.02295307246403766,1.0,2
2021-11-02,0.022909938025144294,1.0,2
2021-11-05,0.031974902074016986,1.0,1
2021-11-08,0.015414569163614944,1.0,1
2021-11-09,0.0015489058869621042,0.5,2
2021-11-10,-0.027624658318796236,0.0,2
2021-11-11,-0.03876428410203148,0.0,2
2021-11-12,-0.038736090457412,0.0,1
2021-11-15,-0.023870558481786597,0.0,2
2021-11-16,-0.013012045007133488,0.5,2
2021-11-17,-0.007607393326594214,0.3333333333333333,3
2021-11-18,0.038679930473047075,1.0,2
2021-11-19,-0.008427648084928085,0.4,5
2021-11-22,-0.012505863898563696,0.6,5
2021-11-23,-0.04542605495029797,0.0,4
2021-11-24,-0.038183395727477865,0.0,5
2021-11-26,-0.013767047977459156,0.6,5
2021-11-29,0.019661375997870045,0.75,4
2021-11-30,0.00803139258978638,0.6,5
2021-12-01,0.021550831836930275,0.8,5
2021-12-02,0.0032947313685200317,0.6,5
